vcs,halluc_prob,verification,evidence,retrieval,ground_truth
0.3431,0.2981,0.0,0.16158488988876343,0.5386162996292114,1
0.266,0.5956,0.0,0.16158488988876343,0.5386162996292114,1
0.3144,0.4082,0.0,0.16158488988876343,0.5386162996292114,1
0.3376,0.3192,0.0,0.16158488988876343,0.5386162996292114,1
0.3021,0.4557,0.0,0.16158488988876343,0.5386162996292114,0
0.4261,0.6106,0.0,0.7913477565550916,0.5386162996292114,0
0.3136,0.4105,0.0,0.1613347828388214,0.537782609462738,1
0.5223,0.5043,0.2774,0.7737588781579661,0.537782609462738,1
0.3048,0.4443,0.0,0.1613347828388214,0.537782609462738,0
0.4399,0.548,0.0,0.7819694072979767,0.537782609462738,1
0.5534,0.4227,0.2872,0.8004976318024255,0.537782609462738,0
0.4413,0.5848,0.0586,0.7653648917892489,0.537782609462738,1
0.3252,0.4159,0.0,0.17290849685668944,0.5763616561889648,1
0.3543,0.3041,0.0,0.17290849685668944,0.5763616561889648,1
0.3397,0.36,0.0,0.17290849685668944,0.5763616561889648,1
0.3188,0.4403,0.0,0.17290849685668944,0.5763616561889648,1
0.333,0.3859,0.0,0.17290849685668944,0.5763616561889648,0
0.3364,0.3729,0.0,0.17290849685668944,0.5763616561889648,1
0.3248,0.3673,0.0,0.16131752729415894,0.5377250909805298,1
0.2581,0.6253,0.0,0.16131752729415894,0.5377250909805298,1
0.2694,0.5812,0.0,0.16131752729415894,0.5377250909805298,0
0.239,0.6996,0.0,0.16131752729415894,0.5377250909805298,1
0.2358,0.7122,0.0,0.16131752729415894,0.5377250909805298,1
0.3219,0.3784,0.0,0.16131752729415894,0.5377250909805298,1
0.2921,0.4775,0.0,0.1576659321784973,0.5255531072616577,1
0.3062,0.4229,0.0,0.1576659321784973,0.5255531072616577,0
0.3074,0.4183,0.0,0.1576659321784973,0.5255531072616577,0
0.3059,0.4239,0.0,0.1576659321784973,0.5255531072616577,0
0.3292,0.3345,0.0,0.1576659321784973,0.5255531072616577,0
0.3155,0.3871,0.0,0.1576659321784973,0.5255531072616577,1
0.5555,0.6547,0.1499,0.9290423270570074,0.7867839336395264,1
0.6665,0.4804,0.3989,0.9295127178940447,0.7867839336395264,1
0.7087,0.4553,0.5369,0.9287950371643358,0.7867839336395264,1
0.5715,0.6774,0.2395,0.9227175896082783,0.7867839336395264,0
0.5791,0.4605,0.0489,0.9253068224261498,0.7867839336395264,1
0.6472,0.4093,0.2586,0.9243943043826434,0.7867839336395264,1
0.3232,0.4077,0.0,0.16925379037857055,0.5641793012619019,1
0.3091,0.4618,0.0,0.16925379037857055,0.5641793012619019,1
0.2921,0.5276,0.0,0.16925379037857055,0.5641793012619019,0
0.2919,0.5285,0.0,0.16925379037857055,0.5641793012619019,1
0.291,0.532,0.0,0.16925379037857055,0.5641793012619019,1
0.3195,0.4221,0.0,0.16925379037857055,0.5641793012619019,1
0.477,0.4481,0.0,0.7560441785024744,0.6048198938369751,0
0.5158,0.3177,0.0,0.7727480198094827,0.6048198938369751,1
0.418,0.7229,0.0,0.8062320575238096,0.6048198938369751,1
